Usia,Status,Rata_rata_screen_time_perhari,Frekuensi_membuka_HP_perhari,Jumlah_aplikasi_media_sosial_aktif_yang_digunakan,Media_sosial_yang_sering_digunakan,Durasi_waktu_tidur_perhari,Jam_tidur,Tidur_larut_karena_sosial_media,Jam_waktu_belajar/bekerja_fokus_sehari,Sulit_fokus_tanpa_mengecek_HP,Sering_membuka_media_sosial_saat_belajar/bekerja,Merasa_cemas_jika_jauh_dari_HP,Sering_membuka_sosial_media_tanpa_tujuan_jelas,Penggunaan_media_sosial_mengganggu_belajar/kerja,Pernah_mencoba_mengurangi_penggunaan_media_sosial_namun_gagal,Tingkat_kecanduan_media_sosial_Anda
21,Mahasiswa,4-6 jam,> 100,3-4,"Instagram, Facebook, Tiktok, Youtube",5-7 jam,22:00,Jarang,2,Sedang,Sering,Tidak,Tidak,Iya,Iya,Sedang
19,Mahasiswa,4-6 jam,20 - 50,3-4,"Instagram, Tiktok, Youtube",3-5 jam,1:00,Sering sekali,2,Sulit,Sering,Iya,Iya,Iya,Iya,Tinggi
20,Mahasiswa,4-6 jam,20 - 50,3-4,"Instagram, Facebook, X/twitter, Tiktok, Youtube",5-7 jam,22:00,Sering,2,Sulit,Sering,Iya,Iya,Iya,Iya,Tinggi
21,Mahasiswa,2-4 jam,< 20,3-4,"Instagram, Youtube",5-7 jam,23:00,Sering,6,Mudah,Jarang,Tidak,Iya,Tidak,Tidak,Sedang
19,Mahasiswa,> 8 jam,> 100,3-4,"Instagram, Facebook, Youtube",> 8 jam,21:00,Sering,3,Sulit sekali,Sering sekali,Iya,Iya,Iya,Iya,Tinggi
24,Pelajar,4-6 jam,< 20,3-4,"Instagram, X/twitter, Tiktok",> 8 jam,21:00,Jarang,3,Sedang,Tidak pernah,Tidak,Iya,Tidak,Tidak,Sedang
18,Mahasiswa,6-8 jam,20 - 50,3-4,"Instagram, X/twitter, Tiktok",5-7 jam,23:00,Sering sekali,3,Sedang,Sering,Iya,Iya,Iya,Iya,Sedang
19,Mahasiswa,< 2 jam,< 20,3-4,"Instagram, X/twitter, Tiktok, Youtube",5-7 jam,23:00,Sering,2,Sulit,Sering,Iya,Iya,Iya,Iya,Sedang
20,Mahasiswa,> 8 jam,50 - 100,3-4,"Instagram, Facebook, X/twitter, Youtube",5-7 jam,23:00,Sering sekali,1,Sulit,Sering,Tidak,Iya,Tidak,Iya,Sedang
20,Mahasiswa,> 8 jam,< 20,5-6,"Instagram, Facebook, Youtube",5-7 jam,22:30,Sering,4,Sedang,Sering,Tidak,Iya,Iya,Iya,Sedang
21,Mahasiswa,6-8 jam,20 - 50,3-4,"Instagram, X/twitter, Tiktok, YouTube, WhatsApp",> 8 jam,21:00,Jarang,3,Sedang,Sering sekali,Tidak,Iya,Tidak,Iya,Sedang
20,Mahasiswa,4-6 jam,50 - 100,3-4,"Instagram, Tiktok, Youtube",3-5 jam,0:00,Sering,2,Sulit,Sering,Iya,Iya,Iya,Iya,Tinggi
