Usia,Rata_rata_screen_time_perhari,Frekuensi_membuka_HP_perhari,Jumlah_aplikasi_media_sosial_aktif_yang_digunakan,Durasi_waktu_tidur_perhari,Jam_tidur_hours,Tidur_larut_karena_sosial_media,Jam_waktu_belajar_bekerja_fokus_sehari,Sulit_fokus_tanpa_mengecek_HP,Sering_membuka_media_sosial_saat_belajar_bekerja,Merasa_cemas_jika_jauh_dari_HP,Sering_membuka_sosial_media_tanpa_tujuan_jelas,Penggunaan_media_sosial_mengganggu_belajar_kerja,Pernah_mencoba_mengurangi_penggunaan_media_sosial_namun_gagal,Status_Mahasiswa,Status_Pelajar,Status_Pekerja,Sosmed_Instagram,Sosmed_Tiktok,Sosmed_Youtube,Sosmed_X_twitter,Sosmed_Facebook,Sosmed_Threads,Sosmed_WhatsApp,Tingkat_kecanduan_media_sosial_Anda
19,10.0,35.0,5.5,6.0,23.0,1,4.0,3,2,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1
20,3.0,10.0,1.5,6.0,22.0,1,7.0,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
19,7.0,75.0,5.5,6.0,12.0,2,2.0,2,2,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0
20,5.0,75.0,3.5,4.0,0.0,2,2.0,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,2
19,7.0,35.0,3.5,6.0,1.0,3,3.0,3,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1
20,10.0,75.0,3.5,6.0,23.0,2,1.0,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,2
19,10.0,35.0,3.5,4.0,0.0,2,5.0,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,2
19,3.0,75.0,3.5,4.0,0.0,2,2.0,2,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1
20,3.0,35.0,1.5,6.0,0.0,3,2.0,2,2,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1
20,7.0,10.0,3.5,6.0,23.0,2,2.0,3,2,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1
20,10.0,10.0,5.5,6.0,22.5,2,4.0,2,2,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1
19,7.0,35.0,5.5,6.0,22.0,1,4.0,3,2,0,1,1,1,1,0,0,1,1,1,0,0,0,0,2
24,5.0,35.0,5.5,6.0,1.0,3,7.0,4,3,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1
19,7.0,35.0,3.5,6.0,22.5,2,6.0,2,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
19,10.0,35.0,5.5,6.0,23.5,3,2.0,2,2,1,1,0,1,1,0,0,0,0,1,1,0,0,0,2
19,7.0,75.0,3.5,6.0,23.0,2,4.0,2,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1
21,3.0,10.0,3.5,6.0,23.0,2,6.0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
20,7.0,75.0,5.5,6.0,0.0,2,2.0,4,2,1,1,1,1,1,0,0,1,1,1,1,1,0,0,2
19,3.0,35.0,5.5,4.0,1.5,2,4.0,2,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,2
19,10.0,120.0,3.5,9.0,21.0,2,3.0,4,3,1,1,1,1,1,0,0,1,0,1,0,1,0,0,2
22,10.0,10.0,1.5,6.0,22.0,1,7.0,1,2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
21,7.0,35.0,3.5,9.0,21.0,1,3.0,2,3,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1
20,7.0,35.0,3.5,6.0,22.5,3,3.0,3,2,1,1,1,1,1,0,0,0,1,0,1,0,0,0,2
19,10.0,35.0,8.5,4.0,1.0,2,4.0,3,3,1,1,1,1,1,0,0,1,1,1,1,0,0,0,2
20,5.0,35.0,3.5,6.0,22.0,1,4.0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
20,7.0,10.0,3.5,6.0,23.0,2,4.0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1
21,5.0,120.0,3.5,6.0,22.0,1,2.0,2,2,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1
18,10.0,120.0,3.5,6.0,1.0,3,4.0,2,2,0,1,1,0,1,0,0,0,1,0,1,0,0,0,2
17,7.0,75.0,3.5,4.0,23.0,3,1.0,4,3,1,1,1,1,0,1,0,1,1,1,0,0,0,0,2
19,5.0,35.0,3.5,6.0,22.0,2,2.0,2,2,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1
15,10.0,75.0,5.5,4.0,23.5,3,8.0,2,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,2
50,5.0,35.0,3.5,6.0,22.0,1,8.0,2,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
16,7.0,35.0,3.5,4.0,21.0,2,2.0,2,2,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1
24,5.0,35.0,3.5,6.0,0.0,3,3.0,3,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,2
21,10.0,35.0,3.5,4.0,1.0,1,3.0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0
20,7.0,10.0,3.5,4.0,3.0,3,2.0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1
19,7.0,35.0,1.5,6.0,23.0,2,5.0,2,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1
21,7.0,75.0,8.5,4.0,2.0,2,4.0,2,2,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1
18,5.0,35.0,3.5,9.0,0.0,2,3.0,2,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1
22,5.0,35.0,3.5,6.0,0.0,2,2.0,2,2,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1
19,7.0,75.0,3.5,6.0,22.0,1,3.0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0
20,10.0,35.0,8.5,6.0,20.0,1,3.0,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,2
20,5.0,35.0,3.5,6.0,22.0,2,2.0,3,2,1,1,1,1,1,0,0,1,1,1,1,1,0,0,2
16,5.0,10.0,5.5,6.0,22.5,2,3.0,4,3,1,1,1,1,0,1,0,0,1,0,0,0,0,0,2
20,5.0,75.0,5.5,6.0,22.5,2,2.0,3,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,2
24,5.0,10.0,3.5,9.0,21.0,1,3.0,2,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1
